date_sold,COGS,price_sold,customer,units_sold
1/19/2017,4.35,4.95,DC54863,38000
1/20/2017,2.15,5.94,EN15154,11000
1/20/2017,5.85,4.95,DC54863,18000
1/21/2017,4.65,8.91,KM81354,8000
1/21/2017,3,7.92,UY59785,31000
1/21/2017,3.6,7.92,KM81354,47000
1/21/2017,1.7,4.95,LL22355,20000
1/22/2017,5.85,6.93,LL22355,42000
1/22/2017,5.35,5.94,JI20398,54000
1/23/2017,1.8,3.96,DI41455,51000
1/23/2017,5.5,5.94,DC54863,57000
1/23/2017,3,4.95,WE68594,48000
1/24/2017,3.75,8.91,AJ30909,42000
1/25/2017,4.15,8.91,DI41455,54000
1/25/2017,4.15,8.91,UY59785,46000
1/25/2017,4.7,4.95,QB52151,35000
1/26/2017,1.45,8.91,AJ93848,39000
1/26/2017,1.6,5.94,FU92873,44000
1/27/2017,2,3.96,WI38374,28000
1/27/2017,3.95,6.93,RS29392,16000
1/27/2017,1.6,6.93,UY59785,22000
1/27/2017,1.6,4.95,QB52151,29000
1/27/2017,4.15,8.91,JI20398,41000
1/28/2017,5.05,6.93,FIO2818,11000
1/28/2017,1.75,5.94,AJ93848,58000
1/28/2017,3.25,7.92,JF93837,19000
1/28/2017,5.9,4.95,KO54545,29000
1/28/2017,5.65,5.94,QW56895,24000
1/29/2017,1.65,4.95,KM81354,4000
1/29/2017,5.7,4.95,SS93393,54000
1/29/2017,1.15,5.94,RS29392,30000
1/30/2017,4.7,7.92,LL22355,13000
1/30/2017,2.1,3.96,AJ93848,56000
1/30/2017,4.05,4.95,JF93837,42000
1/30/2017,1.7,4.95,FIO2818,14000
1/30/2017,5.2,5.94,JF93837,38000
1/30/2017,5,4.95,ST20938,5000
1/31/2017,1.9,7.92,SD61301,34000
1/31/2017,4.25,8.91,WE68594,22000
1/31/2017,1.9,7.92,ST20938,46000
2/1/2017,5.35,5.94,QZ38383,5000
2/1/2017,5.15,5.94,DC54863,19000
2/1/2017,1.85,7.92,WI38374,21000
2/1/2017,5.6,4.95,SS93393,3000
2/1/2017,1.95,7.92,BH66216,19000
2/2/2017,4.45,4.95,AJ30909,46000
2/2/2017,3.75,8.91,EN15154,4000
2/2/2017,6,3.96,WG15152,51000
2/2/2017,4.9,6.93,EB26526,6000
2/2/2017,1.95,6.93,AL30JS,55000
2/2/2017,3.05,6.93,SD61301,52000
2/2/2017,5.75,8.91,AJ30909,24000
2/3/2017,4.3,7.92,DI41455,30000
2/4/2017,3.6,4.95,BH66216,40000
2/5/2017,3.75,5.94,JF93837,33000
2/5/2017,3.7,7.92,EI92873,46000
2/5/2017,2.65,7.92,ST20938,45000
2/6/2017,1.15,3.96,RS29392,33000
2/6/2017,3.85,7.92,WE68594,10000
2/6/2017,5.6,7.92,LL22355,9000
2/6/2017,4.1,6.93,KM81354,42000
2/7/2017,4.45,6.93,WE42352,58000
2/7/2017,1.15,6.93,AJ30909,21000
2/7/2017,5.65,6.93,SD61301,35000
2/7/2017,5.05,8.91,SD61301,47000
2/7/2017,3.9,4.95,SD61301,50000
2/7/2017,1.85,6.93,WI38374,42000
2/7/2017,4.25,4.95,KN84849,23000
2/7/2017,5.35,6.93,QW56895,13000
2/8/2017,2.25,8.91,WE42352,12000
2/8/2017,5.65,3.96,JI20398,28000
2/9/2017,2.75,7.92,AU44452,39000
2/9/2017,5.55,7.92,QB52151,58000
2/10/2017,3.15,3.96,TW29382,52000
2/10/2017,4,6.93,QB52151,38000
2/10/2017,3.9,4.95,EN15154,52000
2/11/2017,5.4,7.92,WE42352,17000
2/12/2017,5.15,8.91,UY59785,44000
2/12/2017,5.9,6.93,FU92873,8000
2/12/2017,5.2,4.95,JF93837,42000
2/13/2017,1.9,7.92,EN15154,29000
2/13/2017,3.75,4.95,JI20398,10000
2/13/2017,1.25,5.94,EI92873,40000
2/14/2017,4.35,7.92,KN84849,3000
2/14/2017,2.3,5.94,SS93393,55000
2/14/2017,2.65,5.94,AJ93848,18000
2/14/2017,2.55,8.91,KO54545,14000
2/14/2017,1.95,7.92,FU92873,7000
2/14/2017,2.8,8.91,SD61301,5000
2/16/2017,4.55,4.95,JI20398,40000
2/16/2017,2.45,6.93,FU92873,31000
2/16/2017,3.75,6.93,QW56895,15000
2/16/2017,3.3,4.95,BH66216,53000
2/16/2017,1.35,4.95,QZ38383,31000
2/17/2017,4.3,8.91,FIO2818,57000
2/17/2017,3.95,4.95,QZ38383,46000
2/18/2017,1.35,4.95,AU44452,25000
2/18/2017,3.55,6.93,DI92747,7000
2/18/2017,1.8,4.95,AU44452,53000
2/18/2017,1.55,7.92,WE42352,16000
2/18/2017,4.75,4.95,QZ38383,28000
2/19/2017,4.55,4.95,WG15152,34000
2/19/2017,4.95,5.94,KN84849,35000
2/19/2017,4.35,5.94,QW56895,39000
2/19/2017,1.85,6.93,WG15152,34000
2/19/2017,6,8.91,DI92747,1000
2/20/2017,6,5.94,WG15152,50000
2/20/2017,1.9,7.92,EB26526,58000
2/20/2017,1.85,6.93,FU92873,53000
2/22/2017,5.15,7.92,DI92747,20000
2/22/2017,2.4,4.95,UY59785,24000
2/22/2017,4.45,3.96,DC54863,39000
2/23/2017,3.75,6.93,BH66216,43000
2/23/2017,5,7.92,TW29382,47000
2/23/2017,2,6.93,RS29392,57000
2/23/2017,1.25,4.95,EB26526,4000
2/24/2017,4.85,8.91,DI92747,16000
2/24/2017,1.35,7.92,DI41455,19000
2/24/2017,3.05,6.93,ST20938,36000
2/24/2017,5.25,8.91,AU44452,48000
2/25/2017,1.45,5.94,WG15152,20000
2/25/2017,1.15,5.94,AU44452,14000
2/25/2017,2,4.95,UY59785,27000
2/25/2017,1.6,4.95,QW56895,17000
2/26/2017,4.15,7.92,FU92873,26000
2/26/2017,5.5,6.93,QB52151,24000
2/26/2017,2.65,8.91,KN84849,12000
2/26/2017,3.9,3.96,DI92747,42000
2/26/2017,1.45,5.94,RS29392,49000
2/26/2017,3.8,6.93,UY59785,24000
2/27/2017,1.6,7.92,KM81354,12000
2/27/2017,4.55,4.95,WI38374,8000
2/27/2017,4.6,6.93,AL30JS,48000
2/28/2017,2.8,5.94,QZ38383,44000
2/28/2017,1.7,6.93,FF39393,38000
2/28/2017,5.1,7.92,WG15152,6000
2/28/2017,2.45,8.91,EN15154,34000
2/28/2017,4.2,3.96,FU92873,16000
3/1/2017,5.1,8.91,KO54545,32000
3/1/2017,2.9,7.92,QZ38383,15000
3/2/2017,2.4,4.95,LL22355,7000
3/2/2017,5.45,3.96,RS29392,4000
3/2/2017,1.5,5.94,WI38374,34000
3/2/2017,1.9,7.92,KN84849,41000
3/2/2017,5.35,5.94,EI92873,20000
3/2/2017,3.75,6.93,ST20938,39000
3/2/2017,1,8.91,WE42352,39000
3/3/2017,3.6,7.92,JF93837,21000
3/3/2017,5.1,3.96,LL22355,54000
3/3/2017,2.4,4.95,SS93393,16000
3/3/2017,1.6,4.95,DI41455,39000
3/3/2017,2.05,5.94,AJ30909,37000
3/3/2017,4.5,4.95,KO54545,30000
3/4/2017,5.2,7.92,FF39393,37000
3/5/2017,3.45,6.93,WG15152,34000
3/5/2017,1.35,8.91,EI92873,15000
3/5/2017,1.5,6.93,WI38374,59000
3/5/2017,2.4,5.94,JI20398,38000
3/5/2017,2.65,7.92,UY59785,58000
3/5/2017,1.8,7.92,AJ30909,32000
3/5/2017,4.7,5.94,WI38374,20000
3/6/2017,4.65,4.95,DI92747,4000
3/6/2017,5.9,5.94,WG15152,26000
3/6/2017,3.5,6.93,ST20938,53000
3/7/2017,5.1,3.96,JF93837,5000
3/7/2017,2.25,4.95,EN15154,20000
3/7/2017,1,6.93,EB26526,15000
3/7/2017,4.9,7.92,AJ30909,12000
3/7/2017,3.2,6.93,KM81354,3000
3/8/2017,2.5,8.91,EB26526,9000
3/9/2017,4.7,8.91,KN84849,40000
3/9/2017,4.95,6.93,SD61301,55000
3/9/2017,2.3,7.92,BH66216,42000
3/9/2017,5.6,6.93,AL30JS,37000
3/9/2017,4.05,5.94,AL30JS,45000
3/9/2017,4.3,6.93,AL30JS,44000
3/10/2017,4.7,4.95,DC54863,13000
3/10/2017,3.2,6.93,EB26526,13000
3/10/2017,5.1,6.93,ST20938,36000
3/11/2017,4.25,6.93,WE42352,29000
3/11/2017,4.65,7.92,EB26526,36000
3/11/2017,5.15,5.94,AU44452,48000
3/12/2017,3,5.94,EN15154,13000
3/12/2017,2.65,3.96,SS93393,47000
3/12/2017,1.8,7.92,WI38374,1000
3/13/2017,3.6,5.94,WE68594,1000
3/13/2017,2.7,4.95,AL30JS,21000
3/14/2017,2.7,3.96,SS93393,50000
3/14/2017,5.7,7.92,FIO2818,23000
3/15/2017,1,3.96,WG15152,13000
3/15/2017,4.5,6.93,LL22355,3000
3/15/2017,2.3,6.93,AL30JS,55000
3/15/2017,5.35,8.91,DI92747,20000
3/15/2017,1.1,3.96,AU53252,34000
3/16/2017,1.05,7.92,AL30JS,2000
3/17/2017,3.75,7.92,KO54545,33000
3/17/2017,3.3,5.94,JF93837,22000
3/17/2017,3.15,8.91,QB52151,30000
3/17/2017,3.7,4.95,DC54863,44000
3/17/2017,2.55,7.92,AU53252,4000
3/18/2017,5.3,7.92,AL30JS,14000
3/18/2017,1.5,8.91,WE42352,14000
3/18/2017,4.85,5.94,AL30JS,45000
3/18/2017,5.95,7.92,WI38374,22000
3/18/2017,3.85,5.94,EB26526,23000
3/19/2017,2.75,6.93,SS93393,58000
3/19/2017,2.3,5.94,UY59785,42000
3/20/2017,2.9,4.95,TW29382,6000
3/20/2017,4.95,7.92,JI20398,41000
3/21/2017,4.7,8.91,QW56895,53000
3/21/2017,3.7,3.96,QW56895,33000
3/21/2017,2.95,3.96,DI41455,38000
3/22/2017,3.45,6.93,JF93837,38000
3/22/2017,5.45,5.94,DC54863,19000
3/22/2017,3.4,5.94,DI41455,21000
3/22/2017,1.2,4.95,DC54863,48000
3/23/2017,5.6,7.92,WI38374,20000
3/23/2017,3.5,4.95,JF93837,29000
3/23/2017,5.15,4.95,KM81354,15000
3/23/2017,4.5,5.94,AJ93848,4000
3/24/2017,2,4.95,EI92873,48000
3/24/2017,3.95,4.95,FF39393,9000
3/25/2017,2.7,3.96,QB52151,42000
3/26/2017,4.05,7.92,FF39393,8000
3/26/2017,1.85,8.91,QZ38383,39000
3/26/2017,5.3,7.92,BH66216,17000
3/26/2017,1.9,4.95,DC54863,41000
3/26/2017,1.8,6.93,QZ38383,10000
3/27/2017,1.05,5.94,AJ93848,21000
3/27/2017,1.55,6.93,EN15154,34000
3/27/2017,1.2,5.94,UY59785,16000
3/27/2017,5.05,6.93,AL30JS,45000
3/27/2017,2.25,5.94,FF39393,57000
3/27/2017,1.55,7.92,AL30JS,14000
3/28/2017,4.45,5.94,QB52151,6000
3/28/2017,6,5.94,EN15154,39000
3/29/2017,5.75,5.94,KN84849,17000
3/29/2017,4.9,5.94,JI20398,31000
3/29/2017,3.7,5.94,WE42352,53000
3/29/2017,3.15,6.93,ST20938,41000
3/30/2017,2.5,5.94,RS29392,11000
3/30/2017,2.85,7.92,AU44452,52000
3/30/2017,2.7,5.94,AL30JS,27000
3/31/2017,1.4,8.91,DI92747,7000
3/31/2017,5.65,5.94,LL22355,1000
4/1/2017,3.3,8.91,AJ30909,28000
4/1/2017,1.2,5.94,WI38374,39000
4/1/2017,2.4,7.92,WI38374,15000
4/1/2017,1.9,8.91,QZ38383,26000
4/1/2017,3.2,5.94,EI92873,35000
4/1/2017,3.1,5.94,JF93837,59000
4/1/2017,1.15,7.92,FF39393,47000
4/1/2017,3.2,6.93,AJ93848,37000
4/1/2017,5.15,7.92,EI92873,18000
4/1/2017,1.45,7.92,WE68594,19000
4/1/2017,5.3,3.96,DI92747,4000
4/2/2017,3.95,5.94,AJ30909,45000
4/2/2017,2.1,6.93,FU92873,54000
4/2/2017,5.5,4.95,KO54545,12000
4/2/2017,1.75,7.92,UY59785,4000
4/3/2017,2.7,6.93,WE42352,35000
4/3/2017,3.75,4.95,FU92873,6000
4/3/2017,4.85,5.94,TW29382,55000
4/3/2017,3.95,5.94,AU44452,1000
4/3/2017,5.35,4.95,DC54863,4000
4/3/2017,2.35,4.95,KM81354,24000
4/3/2017,1.95,4.95,SD61301,42000
4/4/2017,4.05,5.94,DI41455,23000
4/4/2017,3.95,8.91,DC54863,40000
4/5/2017,5.4,4.95,AJ30909,31000
4/5/2017,4.8,3.96,TW29382,4000
4/5/2017,2.3,7.92,EB26526,47000
4/5/2017,5.9,4.95,AJ93848,25000
4/6/2017,2.6,8.91,FU92873,27000
4/6/2017,5.9,4.95,QB52151,33000
4/6/2017,4.6,7.92,SS93393,32000
4/6/2017,1.45,7.92,WG15152,22000
4/7/2017,4.1,6.93,DI41455,27000
4/8/2017,2.9,7.92,RS29392,28000
4/8/2017,4.8,3.96,DI41455,44000
4/8/2017,1.95,4.95,JI20398,5000
4/8/2017,2.7,5.94,DI92747,28000
4/8/2017,4.55,3.96,JF93837,55000
4/9/2017,3.7,5.94,QZ38383,23000
4/9/2017,2.25,7.92,FF39393,21000
4/10/2017,1.5,6.93,QB52151,35000
4/10/2017,1.25,5.94,DC54863,42000
4/11/2017,2.05,5.94,EB26526,3000
4/11/2017,1,4.95,QB52151,27000
4/11/2017,1.2,7.92,EI92873,56000
4/12/2017,4.65,7.92,KM81354,2000
4/12/2017,4.65,8.91,JI20398,25000
4/13/2017,2.05,4.95,FU92873,12000
4/13/2017,1.05,7.92,JF93837,39000
4/14/2017,1.3,7.92,RS29392,15000
4/14/2017,5.9,7.92,KN84849,15000
4/14/2017,4.95,4.95,WE68594,49000
4/14/2017,5.7,3.96,FF39393,33000
4/14/2017,5.4,5.94,FIO2818,33000
4/15/2017,1.6,7.92,EB26526,1000
4/15/2017,2.7,8.91,EB26526,15000
4/15/2017,5.55,4.95,FIO2818,13000
4/15/2017,3.8,6.93,LL22355,18000
4/16/2017,2.05,6.93,LL22355,17000
4/16/2017,2.3,5.94,TW29382,13000
4/16/2017,4.25,6.93,AU44452,28000
4/16/2017,1.25,4.95,SD61301,33000
4/16/2017,1.55,6.93,WE42352,38000
4/16/2017,3.05,3.96,AL30JS,19000
4/16/2017,3.8,6.93,RS29392,39000
4/18/2017,3.25,5.94,DI41455,13000
4/18/2017,4.8,6.93,QW56895,35000
4/18/2017,2.1,8.91,DI41455,37000
4/19/2017,1.2,5.94,WE42352,60000
4/19/2017,3.45,7.92,DI92747,20000
4/19/2017,1.7,4.95,UY59785,59000
4/19/2017,1.4,5.94,FU92873,41000
4/19/2017,4.6,5.94,QW56895,12000
4/19/2017,4.8,3.96,AJ93848,42000
4/20/2017,1.2,4.95,AJ30909,11000
4/20/2017,3,7.92,AJ30909,56000
4/20/2017,3.1,5.94,ST20938,57000
4/20/2017,1.95,6.93,JF93837,39000
4/20/2017,1.45,3.96,DC54863,6000
4/20/2017,2.4,5.94,KM81354,51000
4/21/2017,2.2,7.92,UY59785,39000
4/21/2017,2.3,4.95,AJ93848,20000
4/21/2017,5,5.94,WE68594,58000
4/22/2017,3.8,5.94,QW56895,16000
4/22/2017,5.95,4.95,KM81354,35000
4/23/2017,3.8,5.94,DC54863,8000
4/23/2017,3.15,8.91,KN84849,47000
4/23/2017,3.7,6.93,FIO2818,17000
4/23/2017,3.35,3.96,AL30JS,20000
4/24/2017,4.3,7.92,ST20938,38000
4/24/2017,5.55,7.92,WE42352,14000
4/24/2017,5.7,6.93,LL22355,7000
4/24/2017,2.2,5.94,LL22355,34000
4/24/2017,3.05,7.92,AU53252,58000
4/25/2017,3.55,6.93,SS93393,57000
4/25/2017,1.35,7.92,FU92873,15000
4/26/2017,4.55,5.94,AJ93848,18000
4/26/2017,3.55,4.95,JI20398,34000
4/26/2017,1.2,7.92,QB52151,53000
4/26/2017,1.45,4.95,SS93393,32000
4/26/2017,2.8,5.94,AU53252,48000
4/27/2017,1.5,4.95,KM81354,26000
4/27/2017,4,5.94,EB26526,57000
4/27/2017,2.8,8.91,FF39393,49000
4/27/2017,2.7,6.93,FF39393,16000
4/28/2017,3.9,4.95,FIO2818,53000
4/28/2017,3.55,7.92,AJ93848,19000
4/28/2017,1.8,8.91,AL30JS,38000
4/29/2017,1.65,8.91,AJ30909,49000
4/29/2017,3.35,4.95,SD61301,17000
4/29/2017,5.9,7.92,FF39393,19000
4/29/2017,4.85,4.95,AU44452,14000
4/29/2017,3.4,7.92,DI41455,5000
4/29/2017,4.15,7.92,JF93837,27000
4/29/2017,4.25,6.93,AJ30909,52000
4/30/2017,5.45,7.92,AJ30909,59000
4/30/2017,2.3,4.95,FF39393,35000
4/30/2017,2.9,5.94,LL22355,50000
5/1/2017,1.25,7.92,KN84849,33000
5/1/2017,4.1,6.93,DI41455,5000
5/1/2017,2.2,6.93,JI20398,1000
5/1/2017,3.45,4.95,BH66216,47000
5/1/2017,1.2,6.93,WG15152,58000
5/2/2017,2.6,3.96,EI92873,21000
5/2/2017,3.8,3.96,FIO2818,47000
5/2/2017,1.05,8.91,KN84849,28000
5/2/2017,5.45,4.95,SD61301,8000
5/2/2017,1.55,6.93,AJ30909,4000
5/2/2017,5.1,5.94,FU92873,44000
5/2/2017,1.2,7.92,RS29392,23000
5/3/2017,2.3,8.91,QB52151,23000
5/3/2017,2.9,7.92,BH66216,58000
5/3/2017,1.35,8.91,KM81354,24000
5/3/2017,3.25,7.92,AL30JS,30000
5/4/2017,5.6,7.92,QW56895,54000
5/4/2017,5.45,7.92,FF39393,7000
5/4/2017,3.2,5.94,UY59785,45000
5/4/2017,5.05,7.92,DI92747,4000
5/4/2017,1.45,7.92,KO54545,49000
5/5/2017,3.5,6.93,KN84849,46000
5/5/2017,1.35,3.96,EI92873,33000
5/5/2017,2.05,3.96,AJ30909,27000
5/5/2017,4.65,3.96,AU44452,19000
5/5/2017,5.6,8.91,EB26526,33000
5/6/2017,4.15,7.92,LL22355,27000
5/6/2017,3.75,3.96,BH66216,31000
5/6/2017,1.2,6.93,AL30JS,29000
5/6/2017,3.85,6.93,BH66216,16000
5/7/2017,4.3,6.93,WI38374,39000
5/7/2017,1.65,4.95,BH66216,21000
5/8/2017,4.05,7.92,FU92873,15000
5/8/2017,3.3,8.91,FF39393,19000
5/8/2017,4.5,5.94,WG15152,32000
5/8/2017,4.95,6.93,AU53252,13000
5/8/2017,4.15,5.94,WG15152,39000
5/8/2017,5.65,6.93,AJ93848,25000
5/8/2017,5.9,6.93,RS29392,17000
5/9/2017,4.15,5.94,EN15154,2000
5/9/2017,2.4,5.94,KO54545,31000
5/10/2017,2.5,7.92,KO54545,21000
5/10/2017,5.2,7.92,WG15152,47000
5/10/2017,3.2,6.93,LL22355,10000
5/11/2017,2.9,6.93,AU44452,43000
5/11/2017,3.05,7.92,QB52151,35000
5/11/2017,3.35,7.92,DC54863,40000
5/11/2017,3.2,4.95,QB52151,28000
5/11/2017,5.4,8.91,ST20938,29000
5/11/2017,2.35,5.94,FU92873,44000
5/12/2017,6,5.94,SS93393,35000
5/12/2017,2.1,7.92,RS29392,18000
5/12/2017,2.75,5.94,EN15154,56000
5/13/2017,3,7.92,DI41455,7000
5/13/2017,4.15,3.96,WE42352,4000
5/14/2017,5.9,4.95,EI92873,25000
5/14/2017,4.25,7.92,DI41455,11000
5/15/2017,1.75,6.93,JI20398,42000
5/15/2017,2.65,8.91,AL30JS,21000
5/15/2017,4.65,7.92,JI20398,21000
5/15/2017,5.75,6.93,QW56895,5000
5/15/2017,2.45,7.92,EI92873,24000
5/15/2017,4.6,6.93,TW29382,27000
5/16/2017,4.6,7.92,FF39393,56000
5/16/2017,4.6,5.94,WE68594,40000
5/16/2017,3.35,6.93,RS29392,12000
5/16/2017,1.3,6.93,RS29392,38000
5/16/2017,3.1,4.95,UY59785,31000
5/17/2017,2.7,6.93,BH66216,18000
5/17/2017,1.45,8.91,AJ93848,14000
5/17/2017,4.5,8.91,ST20938,20000
5/17/2017,3.95,6.93,AL30JS,31000
5/18/2017,2.2,8.91,SD61301,51000
5/19/2017,3.95,5.94,KN84849,59000
5/19/2017,3.4,6.93,TW29382,1000
5/19/2017,2.2,4.95,ST20938,27000
5/19/2017,4.35,4.95,DI92747,31000
5/21/2017,5.1,8.91,AJ30909,23000
5/21/2017,6,4.95,ST20938,17000
5/21/2017,2.45,7.92,WE68594,3000
5/21/2017,3.55,5.94,AU44452,44000
5/22/2017,1.9,5.94,QW56895,41000
5/23/2017,5.55,8.91,RS29392,27000
5/23/2017,1.65,4.95,SD61301,37000
5/23/2017,4.55,3.96,DI92747,39000
5/23/2017,4.35,4.95,EN15154,6000
5/24/2017,5.15,8.91,EN15154,38000
5/24/2017,3.55,3.96,DI92747,52000
5/24/2017,1.75,8.91,UY59785,1000
5/24/2017,2.85,7.92,SD61301,45000
5/25/2017,5,8.91,DI41455,17000
5/25/2017,1.7,4.95,SD61301,48000
5/25/2017,4.8,3.96,BH66216,54000
5/26/2017,1.95,7.92,AJ30909,11000
5/26/2017,1,7.92,QB52151,57000
5/26/2017,5.5,8.91,EI92873,59000
5/26/2017,1.4,5.94,UY59785,14000
5/26/2017,2.75,7.92,DC54863,20000
5/27/2017,1.05,8.91,QW56895,34000
5/27/2017,5.25,7.92,KM81354,16000
5/27/2017,1.25,4.95,AL30JS,58000
5/27/2017,3.55,6.93,AU53252,20000
5/28/2017,1.45,3.96,WE42352,6000
5/28/2017,2.65,4.95,FF39393,12000
5/28/2017,1.2,3.96,WI38374,5000
5/28/2017,5.4,8.91,RS29392,7000
5/28/2017,1.75,3.96,WE42352,51000
5/28/2017,2.15,5.94,DI41455,43000
5/28/2017,4.9,4.95,AJ30909,53000
5/28/2017,2.7,4.95,KM81354,42000
5/28/2017,3.15,7.92,JF93837,49000
5/29/2017,2.65,7.92,QW56895,45000
5/29/2017,2.25,7.92,BH66216,37000
5/29/2017,4.95,5.94,UY59785,1000
5/29/2017,1.75,5.94,EI92873,53000
5/30/2017,3.8,4.95,WI38374,40000
5/30/2017,1.05,6.93,SD61301,26000
5/31/2017,5.4,4.95,JF93837,25000
5/31/2017,2.8,5.94,FF39393,47000
5/31/2017,2.05,6.93,QW56895,47000
5/31/2017,5.3,3.96,AU44452,47000
6/1/2017,3.65,5.94,DI92747,48000
6/1/2017,5.15,5.94,QB52151,37000
6/2/2017,1.55,4.95,AU53252,21000
6/2/2017,4.2,5.94,ST20938,23000
6/2/2017,4.15,8.91,AU44452,10000
6/3/2017,5.3,3.96,SD61301,37000
6/3/2017,2,5.94,DI41455,43000
6/3/2017,2.4,5.94,JF93837,26000
6/4/2017,3.65,5.94,WI38374,57000
6/4/2017,5.85,8.91,SD61301,17000
6/5/2017,5,6.93,WE42352,43000
6/5/2017,4,6.93,EI92873,56000
6/5/2017,2.9,4.95,TW29382,54000
6/5/2017,2.25,6.93,ST20938,52000
6/6/2017,2.7,7.92,SS93393,45000
6/6/2017,5.1,7.92,EN15154,2000
6/6/2017,5.1,6.93,EN15154,22000
6/8/2017,1.75,5.94,FIO2818,36000
6/8/2017,2.2,3.96,JF93837,41000
6/8/2017,5.05,5.94,ST20938,47000
6/8/2017,1.95,5.94,KO54545,32000
6/8/2017,3.6,7.92,EI92873,58000
6/8/2017,1.9,4.95,DC54863,1000
6/9/2017,5.6,7.92,KM81354,53000
6/9/2017,1.3,7.92,LL22355,49000
6/9/2017,3.05,7.92,DC54863,44000
6/10/2017,5.55,4.95,JI20398,28000
6/10/2017,2.85,7.92,SS93393,53000
6/10/2017,5.25,3.96,KO54545,38000
6/10/2017,2.55,5.94,EB26526,10000
6/10/2017,5.35,8.91,BH66216,44000
6/10/2017,2.75,7.92,SS93393,23000
6/10/2017,1.75,8.91,AL30JS,32000
6/10/2017,2.75,6.93,WI38374,46000
6/12/2017,1.45,4.95,DC54863,56000
6/12/2017,1.6,5.94,AJ93848,22000
6/13/2017,5.3,4.95,EI92873,57000
6/13/2017,5.6,5.94,BH66216,55000
6/13/2017,3.4,4.95,AJ30909,18000
6/13/2017,4.5,4.95,EN15154,49000
6/14/2017,3.25,6.93,KO54545,52000
6/14/2017,3.35,5.94,AJ30909,43000
6/14/2017,4.45,7.92,KO54545,22000
6/14/2017,2.45,7.92,LL22355,4000
6/15/2017,2.1,5.94,QZ38383,36000
6/15/2017,2.1,5.94,DI92747,10000
6/16/2017,3.8,3.96,AJ93848,50000
6/16/2017,5.55,6.93,UY59785,38000
6/16/2017,3.7,6.93,JF93837,40000
6/16/2017,2,6.93,AJ93848,12000
6/17/2017,5,5.94,EN15154,38000
6/17/2017,3.95,7.92,KO54545,27000
6/18/2017,4.15,6.93,QZ38383,54000
